"set","file","bright","hex"
"OP14","OP14-080.jpg","33,93","242125"
"OP14","OP14-079.jpg","34,43","242222"
"OP15","OP15-002.jpg","46,6","88161B"
"EB04","EB04-001.jpg","46,64","941316"
"OP13","OP13-002.jpg","47,43","951414"
"OP14","OP14-001.jpg","48,58","931616"
"OP13","OP13-099.jpg","55,05","273953"
"OP13","OP13-004.jpg","67,44","A32A26"
"OP13","OP13-003.jpg","67,78","8F2E3E"
"OP14","OP14-039.jpg","71,46","1F506A"
"OP15","OP15-022.jpg","76,28","07614B"
"EB04","EB04-010.jpg","77,37","6F425B"
"OP14","OP14-040.jpg","78,25","065E87"
"OP14","OP14-020.jpg","79,07","06654D"
"OP15","OP15-039.jpg","79,32","075F89"
"OP13","OP13-022.jpg","80,44","76445D"
"OP13","OP13-078.jpg","83","5E4C78"
"OP13","OP13-079.jpg","84,55","5A5540"
"OP13","OP13-007.jpg","86,34","7D4D41"
"OP15","OP15-057.jpg","89,63","29638C"
"OP15","OP15-097.jpg","96,74","6E6041"
"OP14","OP14-112.jpg","98,58","766043"
"OP14","OP14-099.jpg","100,66","736441"
"OP14","OP14-096.jpg","102,38","766450"
"EB04","EB04-048.jpg","102,68","5D6780"
"OP13","OP13-098.jpg","104,64","826542"
"OP14","OP14-120.jpg","106,34","83692F"
"OP13","OP13-021.jpg","109,53","BC5B3E"
"OP13","OP13-020.jpg","111,89","BD5E3E"
"OP13","OP13-096.jpg","112,53","7C7054"
