"set","file","hex","r","g","b","score"
"OP15","OP15-021.jpg","C57351","197","115","81","24"
"OP15","OP15-078.jpg","957579","149","117","121","18"
"OP15","OP15-075.jpg","BE9389","190","147","137","16,5"
"OP15","OP15-074.jpg","B3897F","179","137","127","16"
"OP15","OP15-076.jpg","B58B81","181","139","129","16"
"OP15","OP15-097.jpg","6E6041","110","96","65","-8,5"
"OP15","OP15-055.jpg","839988","131","153","136","-19,5"
"OP15","OP15-054.jpg","839A81","131","154","129","-24"
"OP15","OP15-038.jpg","84A27B","132","162","123","-34,5"
"OP15","OP15-115.jpg","D1BB5E","209","187","94","-35,5"
"OP15","OP15-117.jpg","DCC665","220","198","101","-37,5"
